query                                          , before_retrieved_sources                                                                                                           , after_retrieved_sources                                                                                      , changed
Как устроен энкодер в архитектуре Трансформера?, Метрики качества классификации; Метод k-средних (K-Means); Рекуррентные нейронные сети (RNN)                                       , Метрики качества классификации; Метод k-средних (K-Means); BERT                                              ,       1
Что такое Scaled Dot-Product Attention?        , Градиентный бустинг (Gradient Boosting); Обратное распространение ошибки (Backpropagation); Батч-нормализация (Batch Normalization), Механизм внимания (Attention); Архитектура Трансформера (Transformer); Архитектура Трансформера (Transformer),       1
Как BERT использует Masked Language Modeling?  , Батч-нормализация (Batch Normalization); Нейронные сети (Neural Networks); Dropout                                                 , BERT; Архитектура Трансформера (Transformer); Батч-нормализация (Batch Normalization)                        ,       1
